"Marché_National_Produit";"Catégorie_Produit";"Type_Produit";"Code_Référence";"Date_Dernière_Mise_A_Jour_Du_Dossier";"Nom_Marque_Produit";"Nom_Sous-type_Marque_Produit";"Filtre_Produit";"Unités_Conditionnement_Produit";"Poids_NET_Conditionnement_Produit";"Type_Conditionnement_Produit";"Type_Numéro_Produit";"Numéro_Produit";"Date_Notification";"Date_Lancement_Produit";"Longueur_Produit";"Diamètre_Produit";"Poids_Produit";"Poids_Tabac_Produit";"Longueur_Filtre_Produit";"Teneur_Totale_Nicotine_Tabac_Rouler_Pipe";"Teneur_Nicotine_Base_Tabac_Rouler_Pipe";"Teneur_Nicotine_Sans_Combusion";"Teneur_Nicotine_Base_Sans_Combusion";"pH_Sans_Combusion";"Humidité_Sans_Combustion"
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO OSCURO GORDITO 20 [9A5AD91210D7CDD1]";"13/01/2022 14:49:00";"Balmoral";"Anejo Xo Oscuro Gordito 20";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"32442022";30/11/2020 09:00:00;1/1/2021 00:00:00;102.00;23.00;14900.00;14889.93;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO OSCURO GORDITO 20 [ACAE02BE9226A341]";"13/01/2022 14:49:00";"Balmoral";"Anejo Xo Oscuro Gordito 20";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"32442063";30/11/2020 09:00:00;1/1/2021 00:00:00;102.00;23.00;14900.00;14889.93;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO OSCURO GRAN TORO 20 [BDBE4FE63AFDC675]";"10/01/2022 12:42:00";"Balmoral";"Anejo Xo Oscuro Gran Toro 20";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"32442064";30/11/2020 09:00:00;1/1/2021 00:00:00;159.00;20.60;16000.00;15989.18;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO OSCURO GRAN TORO 20 [FD87EEE9DF4C44E0]";"10/01/2022 12:42:00";"Balmoral";"Anejo Xo Oscuro Gran Toro 20";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"32442024";30/11/2020 09:00:00;1/1/2021 00:00:00;159.00;20.60;16000.00;15989.18;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO OSCURO ROTHSCHILD MASIVO 20 [7036875D7F0E3001]";"10/01/2022 12:49:00";"Balmoral";"Anejo Xo Oscuro Rothschild Masivo 20";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"32442144";30/11/2020 09:00:00;10/6/2021 00:00:00;125.00;21.80;14600.00;14590.13;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO OSCURO ROTHSCHILD MASIVO 20 [72CB9968F336DDFB]";"10/01/2022 12:49:00";"Balmoral";"Anejo Xo Oscuro Rothschild Masivo 20";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"32442062";30/11/2020 09:00:00;1/1/2021 00:00:00;125.00;21.80;14600.00;14590.13;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO OSCURO ROTHSCHILD MASIVO 20 [E975C6DAE0991251]";"10/01/2022 12:49:00";"Balmoral";"Anejo Xo Oscuro Rothschild Masivo 20";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"32442023";30/11/2020 09:00:00;1/1/2021 00:00:00;125.00;21.80;14600.00;14590.13;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO OSCURO TORPEDO MK52 20 [241D55115A53FC89]";"13/01/2022 14:49:00";"Balmoral";"Anejo Xo Oscuro Torpedo Mk52 20";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"32442145";30/11/2020 09:00:00;10/6/2021 00:00:00;159.00;20.60;16200.00;16189.05;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO OSCURO TORPEDO MK52 20 [556294D1B47103D9]";"13/01/2022 14:49:00";"Balmoral";"Anejo Xo Oscuro Torpedo Mk52 20";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"32442040";30/11/2020 09:00:00;1/1/2021 00:00:00;159.00;20.60;16200.00;16189.05;;;;;;;
"FR";"Produit du tabac";"Cigare";"BALMORAL ANEJO XO PETIT ROBUSTO FT 20 [8FF5641572B20CA1]";"13/01/2022 08:17:00";"Balmoral";"Anejo Xo Petit Robusto Ft 20";"sans filtre";20.00;;"Boîte à couvercle basculant";"SKU";"32442146";30/11/2020 11:53:46;10/6/2021 00:00:00;120.00;19.20;10500.00;10492.90;;;;;;;
