"Marché_National_Produit";"Catégorie_Produit";"Type_Produit";"Code_Référence";"Date_Dernière_Mise_A_Jour_Du_Dossier";"Nom_Marque_Produit";"Nom_Sous-type_Marque_Produit";"Filtre_Produit";"Unités_Conditionnement_Produit";"Type_Conditionnement_Produit";"Type_Numéro_Produit";"Numéro_Produit";"Date_Notification";"Date_Lancement_Produit";"Longueur_Produit";"Diamètre_Produit";"Poids_Produit";"Poids_Tabac_Produit";"Longueur_Filtre_Produit";"Ventilation_Filtre_Cigarette";"Baisse_Pression_Filtre_Cigarette_Fermé";"Baisse_Pression_Filtre_Cigarette_Ouvert";"Émission_Goudron";"Émission_Nicotine";"Émission_CO"
"FR";"Produit du tabac";"Cigarette";"AUSTIN U RIBELLO  [1EBDC07006EEFE62]";"20/04/2022 15:46:00";"AUSTIN U RIBELLO";"";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"-";"50052448";22/9/2020 08:55:16;1/5/2022 00:00:00;83.00;7.85;900.00;690.00;22.00;25.00;105.00;85.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [0055AB96C48B1D7B]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55294";21/11/2018 16:40:46;21/4/2020 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [05C668EEAEA49413]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55293";21/11/2018 16:40:46;15/1/2021 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [09CC721AA730C952]";"23/08/2021 11:49:00";"Bastos Rouge";"Bastos Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"48958";5/2/2018 13:03:16;8/1/2016 00:00:00;83.00;7.80;835.00;596.00;21.00;22.00;106.00;87.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [119E3B2608D904BA]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55294";21/11/2018 16:40:46;19/9/2020 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [13A8060D94EF6A6D]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55293";21/11/2018 16:40:46;21/4/2020 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [15E75BEE66C99485]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55294";21/11/2018 16:40:46;21/4/2020 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [16E83B10790007A9]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55293";21/11/2018 16:40:46;18/11/2020 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [215425F0ECA30A72]";"21/08/2020 14:50:00";"Bastos Rouge";"Bastos Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55293";13/5/2019 14:24:32;13/3/2020 00:00:00;83.00;7.80;809.00;576.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [232ED9CF4BE47FFB]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55294";21/11/2018 16:40:46;21/4/2020 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [27A563403D3A576F]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55293";21/11/2018 16:40:46;24/10/2020 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [3832B71759DA6322]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55293";21/11/2018 16:40:46;11/11/2020 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [41739AC72B33DA9F]";"21/08/2020 14:50:00";"Bastos Rouge";"Bastos Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55294";13/5/2019 14:24:32;17/9/2019 00:00:00;83.00;7.80;809.00;576.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [48D19A117576858D]";"23/08/2021 11:49:00";"Bastos Rouge";"Bastos Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"3228";5/2/2018 13:03:16;14/5/2014 00:00:00;83.00;7.80;835.00;596.00;21.00;22.00;106.00;87.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [49098C42D79D233E]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55293";21/11/2018 16:40:46;29/5/2020 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [50BDF6F7663194AC]";"18/08/2021 14:52:00";"Bastos Rouge";"Bastos Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55294";24/9/2019 12:30:48;7/10/2019 00:00:00;83.00;7.80;804.00;572.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [5237693AC6BC75C8]";"18/08/2021 14:52:00";"Bastos Rouge";"Bastos Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55294";24/9/2019 12:30:48;8/9/2020 00:00:00;83.00;7.80;804.00;572.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [593DF8B3461331BF]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55293";21/11/2018 16:40:46;7/8/2021 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [5A8910519BF1AD0D]";"18/08/2021 14:52:00";"Bastos Rouge";"Bastos Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55294";24/9/2019 12:30:48;17/9/2019 00:00:00;83.00;7.80;804.00;572.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [6B8CBB3B7EC23485]";"18/08/2021 14:52:00";"Bastos Rouge";"Bastos Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55293";24/9/2019 12:30:48;22/9/2020 00:00:00;83.00;7.80;804.00;572.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"1637 ORIGINE [4A27B949A67924C5]";"28/01/2022 08:21:00";"1637 ";"Origine";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"EAN";"3258170830010";5/9/2019 08:14:38;9/9/2019 00:00:00;84.00;7.83;830.00;580.00;27.00;15.00;135.00;120.00;8.23;0.56;9.92
"FR";"Produit du tabac";"Cigarette";"ALLUVE TABAC [1367F5A992C53FEB]";"07/03/2022 16:00:00";"Alluvé";"tabac";"filtre";40.00;"Boîte à couvercle supérieur rabattable, bord droit";"GTIN";"00000042400301";19/11/2016 22:51:53;28/8/2019 00:00:00;100.00;5.40;580.00;410.00;30.00;30.00;210.00;140.00;6.00;0.70;5.00
"FR";"Produit du tabac";"Cigarette";"ALLUVE WHITE [A054873D961B1747]";"07/03/2022 15:38:00";"Alluvé";"white";"filtre";40.00;"Boîte à couvercle supérieur rabattable, bord droit";"GTIN";"00000042400295";19/11/2016 22:51:54;29/8/2019 00:00:00;100.00;5.40;560.00;400.00;30.00;65.00;270.00;120.00;3.00;0.30;2.00
"FR";"Produit du tabac";"Cigarette";"AMERICAN SPIRIT BLUE  [21F6287E19F95395]";"23/03/2022 14:12:00";"American Spirit Blue";"";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"14778496";23/7/2018 12:01:07;17/11/2021 00:00:00;83.00;7.79;994.00;780.00;21.00;47.00;165.00;110.00;9.00;0.90;8.00
"FR";"Produit du tabac";"Cigarette";"AMERICAN SPIRIT YELLOW  [2F3C3616F6F55D7F]";"23/03/2022 14:13:00";"American Spirit Yellow";"";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"14778490";20/7/2018 10:56:27;17/11/2021 00:00:00;83.00;7.79;944.00;690.00;27.00;60.00;165.00;95.00;5.00;0.50;5.00
"FR";"Produit du tabac";"Cigarette";"AUSTIN 1839 RED  [1056C12C076B43C6]";"20/04/2022 15:46:00";"AUSTIN 1839 RED";"";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"-";"50051108";22/9/2020 08:55:16;22/9/2020 00:00:00;83.00;7.85;900.00;690.00;22.00;25.00;105.00;85.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"AUSTIN 1839 RED (CORSE)  [2360F71DE87872A5]";"20/04/2022 15:46:00";"AUSTIN 1839 RED (Corse)";"";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"-";"50051778";22/9/2020 08:55:16;22/9/2020 00:00:00;83.00;7.85;900.00;690.00;22.00;25.00;105.00;85.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"AUSTIN BLUE  [773F9FDD718C5DA9]";"31/01/2022 17:08:00";"AUSTIN BLUE";"";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"-";"50050208";22/9/2020 08:55:16;1/10/2020 00:00:00;83.00;7.85;874.00;630.00;27.00;34.00;110.00;90.00;7.00;0.60;8.00
"FR";"Produit du tabac";"Cigarette";"AUSTIN FRESH  [B72510190928591A]";"02/02/2022 14:04:00";"AUSTIN FRESH";"";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"-";"50052155";19/2/2021 12:10:42;31/3/2021 00:00:00;83.00;7.85;855.00;625.00;27.00;31.00;120.00;95.00;8.00;0.60;9.00
"FR";"Produit du tabac";"Cigarette";"AUSTIN RED 100'S  [C5CAFCF67DBECDEE]";"31/01/2022 17:08:00";"AUSTIN RED 100's";"";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"-";"50052057";29/10/2020 11:52:53;1/12/2020 00:00:00;100.00;7.85;1065.00;810.00;27.00;30.00;110.00;95.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [6EF4E398D42708DB]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55294";21/11/2018 16:40:46;13/8/2020 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [78361750946CA087]";"18/08/2021 14:52:00";"Bastos Rouge";"Bastos Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55294";24/9/2019 12:30:48;6/10/2020 00:00:00;83.00;7.80;804.00;572.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [8A4B57F7D27DB48F]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55294";21/11/2018 16:40:46;21/4/2020 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [8ABD09BC5491E2B3]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55294";21/11/2018 16:40:46;13/8/2020 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [8E09797A304F0E30]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55293";21/11/2018 16:40:46;24/3/2021 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [974956E56712CFCC]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55293";21/11/2018 16:40:46;23/7/2020 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"BASTOS ROUGE [9B7EB29ACE2F0881]";"27/04/2022 12:38:00";"Bastos Rouge";"Bastos Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55293";21/11/2018 16:40:46;23/7/2020 00:00:00;83.00;7.80;799.00;571.00;21.00;29.00;105.00;77.00;10.00;0.80;10.00
